months_as_customer,age,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,fraud_reported,claim_severity_ratio,injury_ratio,vehicle_ratio,from_bind_to_incident_months,is_high_risk_hobby,incident_severity_encoded,claim_x_tenure
106,30,250/500,500,538.17,0,FEMALE,transport-moving,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Other,NC,23,1,NO,2,2,NO,51120,Mercedes,0,94.98857238419087,0.1111111111111111,0.7777777777777778,141,0,3,7207920
269,44,100/300,2000,1081.08,0,MALE,priv-house-serv,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Other,SC,14,1,YES,0,2,Unknown,56400,Toyota,0,52.17005217005217,0.2,0.6,86,0,1,4850400
265,40,250/500,1000,1454.43,0,FEMALE,protective-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Other,NY,17,3,NO,2,3,Unknown,55120,Accura,0,37.89800815439725,0.125,0.875,102,0,3,5622240
163,33,100/300,500,1240.47,0,FEMALE,other-service,husband,35300,0,Multi-vehicle Collision,Rear Collision,Fire,NC,11,3,YES,1,1,Unknown,77110,Honda,0,62.16192249711803,0.0,0.8181818181818182,301,0,3,23210110
355,47,500/1000,2000,1273.7,4000000,MALE,other-service,husband,0,0,Multi-vehicle Collision,Front Collision,Fire,WV,19,3,NO,2,1,NO,62800,Audi,1,49.305173902802856,0.1,0.8,297,0,2,18651600
175,34,500/1000,1000,1123.87,8000000,FEMALE,protective-serv,other-relative,0,0,Vehicle Theft,Unknown,Police,NY,5,1,Unknown,2,0,YES,7290,Volkswagen,0,6.486515344301388,0.1111111111111111,0.7777777777777778,85,0,0,619650
192,35,100/300,1000,1245.89,0,FEMALE,exec-managerial,wife,0,-40300,Single Vehicle Collision,Rear Collision,Other,WV,19,1,NO,0,0,Unknown,76600,Mercedes,0,61.48215332011654,0.2,0.7,213,0,3,16315800
430,59,250/500,2000,1326.62,7000000,MALE,other-service,own-child,0,0,Multi-vehicle Collision,Front Collision,Fire,NY,19,3,Unknown,0,3,YES,81800,Nissan,0,61.66046041820567,0.2,0.7,131,0,1,10715800
91,27,100/300,2000,1073.83,0,FEMALE,farming-fishing,husband,0,0,Vehicle Theft,Unknown,,NY,4,1,Unknown,1,2,Unknown,7260,BMW,0,6.760846688954491,0.18181818181818182,0.7272727272727273,244,0,0,1771440
217,39,100/300,1000,1530.52,0,MALE,armed-forces,not-in-family,0,0,Vehicle Theft,Unknown,,WV,8,1,Unknown,2,1,YES,4300,Toyota,0,2.8095026526932023,0.1,0.8,152,0,1,653600
223,40,100/300,500,1201.41,0,FEMALE,priv-house-serv,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Police,NC,7,3,YES,1,0,Unknown,70510,Suburu,0,58.6893733196827,0.18181818181818182,0.6363636363636364,248,0,2,17486480
195,39,250/500,1000,1393.57,0,MALE,machine-op-inspct,not-in-family,47600,-39600,Parked Car,Unknown,Police,VA,5,1,NO,0,1,YES,2640,Ford,0,1.8944150634700805,0.18181818181818182,0.6363636363636364,6,0,1,15840
22,26,100/300,1000,1276.57,0,MALE,craft-repair,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Fire,NY,3,1,YES,1,2,NO,78900,Chevrolet,0,61.80624642596959,0.2,0.7,88,0,1,6943200
439,56,250/500,500,1082.49,0,FEMALE,prof-specialty,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Fire,SC,12,3,Unknown,2,3,Unknown,56430,Honda,0,52.12981182274201,0.0,0.8888888888888888,75,1,2,4232250
94,32,500/1000,1000,1414.74,0,FEMALE,adm-clerical,own-child,0,0,Parked Car,Unknown,,VA,19,1,NO,1,3,NO,2400,Chevrolet,0,1.6964247847661054,0.125,0.75,232,0,1,556800
11,39,250/500,2000,1470.06,0,MALE,other-service,husband,56600,-45800,Single Vehicle Collision,Front Collision,Ambulance,WV,22,1,YES,0,1,NO,65790,Saab,0,44.75327537651525,0.1111111111111111,0.7777777777777778,259,0,3,17039610
151,36,250/500,2000,870.63,0,FEMALE,adm-clerical,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Police,VA,12,3,NO,1,1,NO,62920,Ford,0,72.26950598991534,0.18181818181818182,0.7272727272727273,118,0,1,7424560
154,34,100/300,500,795.23,0,MALE,machine-op-inspct,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Police,NY,15,3,YES,2,1,Unknown,69480,Nissan,1,87.37094928511249,0.2222222222222222,0.7777777777777778,298,0,2,20705040
245,44,500/1000,1000,1168.2,0,MALE,handlers-cleaners,husband,69100,0,Multi-vehicle Collision,Side Collision,Other,OH,23,3,NO,0,3,NO,44280,Honda,0,37.90446841294299,0.16666666666666666,0.75,256,0,3,11335680
119,32,500/1000,1000,993.51,0,MALE,armed-forces,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Other,WV,12,1,NO,0,3,YES,56300,BMW,0,56.66777385230144,0.1,0.7,7,0,1,394100
215,42,500/1000,500,1848.81,0,MALE,transport-moving,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Fire,WV,20,3,YES,2,2,YES,68520,Suburu,1,37.06167751148036,0.16666666666666666,0.75,75,0,2,5139000
295,42,250/500,2000,1641.73,5000000,MALE,sales,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Fire,VA,16,3,NO,0,0,NO,59130,Ford,1,36.01688462780116,0.1111111111111111,0.7777777777777778,92,1,3,5439960
254,39,100/300,500,1362.87,0,FEMALE,exec-managerial,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Ambulance,NY,6,3,YES,2,2,NO,82320,Dodge,1,60.401945893592206,0.16666666666666666,0.75,254,1,1,20909280
107,31,250/500,500,1239.22,7000000,FEMALE,tech-support,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Fire,SC,12,1,YES,0,1,NO,89700,Audi,1,72.38424170042445,0.15384615384615385,0.6923076923076923,41,0,1,3677700
478,64,250/500,500,835.02,0,FEMALE,adm-clerical,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Fire,WV,17,3,NO,1,1,NO,33930,BMW,0,40.633757275274846,0.0,0.8888888888888888,293,0,1,9941490
128,30,100/300,1000,1061.33,0,MALE,machine-op-inspct,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Ambulance,WV,8,1,NO,0,3,NO,68530,Audi,0,64.56992641308547,0.18181818181818182,0.7272727272727273,250,0,2,17132500
338,49,500/1000,1000,1279.08,0,MALE,other-service,own-child,0,-51500,Parked Car,Unknown,,NC,13,1,NO,0,1,Unknown,4300,Ford,0,3.361791287487882,0.2,0.6,252,0,1,1083600
271,42,100/300,500,1105.49,0,FEMALE,prof-specialty,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Other,SC,12,2,Unknown,2,3,Unknown,68310,Audi,1,61.79160372323585,0.18181818181818182,0.7272727272727273,42,0,2,2869020
222,41,100/300,2000,1055.53,0,FEMALE,armed-forces,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Other,WV,7,1,NO,0,2,NO,61290,Honda,1,58.065616325447884,0.1111111111111111,0.7777777777777778,194,1,3,11890260
199,41,250/500,1000,895.83,0,FEMALE,sales,husband,0,0,Single Vehicle Collision,Rear Collision,Ambulance,NC,10,1,NO,1,2,NO,30100,Chevrolet,0,33.60012502372102,0.1,0.9,230,0,1,6923000
215,37,100/300,500,1632.93,0,FEMALE,transport-moving,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Fire,SC,7,3,NO,2,0,YES,57120,Mercedes,0,34.98006650621888,0.16666666666666666,0.75,145,0,1,8282400
192,40,100/300,1000,1405.99,0,FEMALE,sales,wife,0,0,Multi-vehicle Collision,Side Collision,Ambulance,VA,18,3,YES,1,0,YES,42930,BMW,0,30.533645331759118,0.2222222222222222,0.6666666666666666,130,0,1,5580900
120,35,100/300,1000,1425.54,0,FEMALE,transport-moving,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Ambulance,SC,22,3,NO,2,0,NO,51210,Ford,0,35.92322909213351,0.2222222222222222,0.6666666666666666,167,0,3,8552070
270,45,500/1000,1000,1038.09,0,FEMALE,handlers-cleaners,husband,0,-19700,Multi-vehicle Collision,Front Collision,Fire,NY,18,3,NO,1,1,YES,89400,Suburu,0,86.11970060399388,0.16666666666666666,0.75,60,0,1,5364000
319,47,250/500,500,1307.11,0,MALE,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Police,WV,22,3,NO,0,2,Unknown,59730,Audi,0,45.69623061563296,0.18181818181818182,0.6363636363636364,274,0,3,16366020
194,39,500/1000,1000,1489.24,6000000,FEMALE,other-service,wife,0,-45000,Vehicle Theft,Unknown,,SC,15,1,YES,2,2,YES,8060,Saab,0,5.4121565362198165,0.15384615384615385,0.6923076923076923,56,0,1,451360
227,38,500/1000,500,976.67,0,FEMALE,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Rear Collision,Fire,SC,16,1,Unknown,1,2,Unknown,72200,BMW,1,73.92466237316596,0.2,0.7,14,0,2,1010800
137,31,250/500,2000,1340.43,0,MALE,exec-managerial,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Ambulance,NC,6,3,NO,1,2,NO,50800,Accura,0,37.89828637079146,0.2,0.6,244,0,1,12395200
244,40,500/1000,2000,1267.81,5000000,FEMALE,exec-managerial,wife,0,0,Vehicle Theft,Unknown,,NC,10,1,Unknown,2,1,Unknown,6600,Accura,0,5.205827371609311,0.1,0.7,209,0,0,1379400
78,29,250/500,1000,1234.2,6000000,MALE,other-service,other-relative,0,0,Vehicle Theft,Unknown,Police,NY,3,1,YES,2,2,NO,7500,Nissan,0,6.076810889645114,0.1,0.7,47,0,1,352500
200,35,250/500,2000,1318.06,0,MALE,exec-managerial,wife,57300,-80600,Vehicle Theft,Unknown,,VA,13,1,NO,0,3,YES,6490,Volkswagen,0,4.923903312444047,0.18181818181818182,0.6363636363636364,244,0,0,1583560
284,48,500/1000,2000,769.95,0,MALE,prof-specialty,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Ambulance,NY,16,2,Unknown,2,3,NO,60940,Audi,1,79.14799662315734,0.09090909090909091,0.7272727272727273,212,0,2,12919280
275,41,100/300,2000,1514.72,0,MALE,transport-moving,own-child,35700,0,Multi-vehicle Collision,Front Collision,Fire,NY,13,3,YES,0,1,Unknown,58300,Suburu,0,38.488961656279706,0.1,0.7,219,0,2,12767700
153,34,500/1000,1000,873.64,4000000,FEMALE,priv-house-serv,husband,800,0,Multi-vehicle Collision,Front Collision,Other,SC,9,3,NO,2,1,Unknown,68400,Ford,0,78.29311844695756,0.16666666666666666,0.6666666666666666,106,0,1,7250400
134,32,500/1000,500,1612.43,0,FEMALE,other-service,own-child,36400,0,Single Vehicle Collision,Side Collision,Fire,VA,2,1,Unknown,2,1,YES,64240,BMW,0,39.84048919953114,0.18181818181818182,0.6363636363636364,288,0,3,18501120
31,36,500/1000,2000,1318.24,9000000,FEMALE,prof-specialty,not-in-family,0,-78600,Parked Car,Unknown,,WV,9,1,NO,0,1,YES,4700,Dodge,0,3.5653598737710888,0.2,0.7,185,0,0,869500
41,25,100/300,1000,1226.83,0,FEMALE,exec-managerial,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Other,SC,12,3,YES,2,0,Unknown,45120,Accura,1,36.77771166339265,0.0,0.875,275,0,2,12408000
127,29,250/500,2000,1326.44,5000000,FEMALE,sales,own-child,0,0,Multi-vehicle Collision,Front Collision,Fire,SC,12,2,YES,1,1,Unknown,66950,Saab,0,50.473447724736886,0.15384615384615385,0.6923076923076923,182,0,3,12184900
61,23,250/500,2000,1136.83,4000000,FEMALE,tech-support,own-child,0,-62400,Single Vehicle Collision,Side Collision,Police,NY,14,1,NO,0,3,Unknown,98340,Honda,1,86.50369888197883,0.09090909090909091,0.7272727272727273,259,0,2,25470060
207,42,250/500,2000,1322.78,0,MALE,farming-fishing,own-child,55200,0,Parked Car,Unknown,,WV,9,1,NO,0,1,NO,5900,BMW,0,4.460303300624442,0.1,0.8,172,0,0,1014800
219,43,100/300,1000,1483.25,0,FEMALE,exec-managerial,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Ambulance,NC,3,3,NO,1,1,Unknown,70680,Ford,0,47.65211528737569,0.08333333333333333,0.75,49,0,2,3463320
271,42,100/300,500,1515.3,0,FEMALE,machine-op-inspct,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Ambulance,SC,21,3,NO,1,0,NO,93720,Mercedes,0,61.84913878439913,0.18181818181818182,0.7272727272727273,298,0,3,27928560
80,25,100/300,2000,1075.18,5000000,FEMALE,armed-forces,husband,67700,-58400,Vehicle Theft,Unknown,,OH,5,1,NO,2,0,YES,6930,Toyota,0,6.445432392715638,0.18181818181818182,0.7272727272727273,35,0,1,242550
325,47,500/1000,1000,1690.27,0,FEMALE,protective-serv,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Fire,VA,11,1,YES,0,3,NO,72930,Dodge,1,43.146952853686095,0.09090909090909091,0.8181818181818182,107,0,2,7803510
29,25,250/500,2000,1352.83,0,MALE,farming-fishing,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Other,SC,4,4,YES,1,2,YES,64890,Nissan,1,47.96611547644567,0.1111111111111111,0.7777777777777778,2,0,1,129780
295,48,250/500,1000,1148.73,0,FEMALE,machine-op-inspct,wife,0,0,Parked Car,Unknown,,WV,6,1,Unknown,1,2,YES,5400,Saab,0,4.700843540257502,0.16666666666666666,0.6666666666666666,68,0,0,367200
239,42,100/300,1000,969.5,0,MALE,exec-managerial,not-in-family,0,0,Vehicle Theft,Unknown,,NC,10,1,NO,0,0,Unknown,5600,Audi,0,5.776173285198556,0.125,0.75,184,0,0,1030400
269,41,100/300,500,1463.82,0,FEMALE,protective-serv,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Police,SC,23,1,YES,0,0,Unknown,79300,Saab,0,54.173327321665234,0.2,0.6,291,0,1,23076300
80,27,100/300,1000,1474.17,0,FEMALE,tech-support,unmarried,0,0,Single Vehicle Collision,Side Collision,Police,WV,13,1,YES,1,0,YES,52800,Saab,0,35.81676468792609,0.2,0.7,222,0,2,11721600
279,41,250/500,500,1497.35,0,FEMALE,prof-specialty,husband,37300,-31700,Multi-vehicle Collision,Front Collision,Fire,NC,16,3,Unknown,2,3,NO,28800,Ford,0,19.23398003138879,0.0,0.875,163,0,1,4694400
165,33,100/300,1000,1427.14,0,FEMALE,tech-support,other-relative,35300,-58100,Parked Car,Unknown,Police,WV,3,1,NO,1,1,NO,2970,Toyota,0,2.0810852474179127,0.1111111111111111,0.7777777777777778,94,0,1,279180
350,54,500/1000,500,1495.1,0,MALE,other-service,wife,50500,0,Multi-vehicle Collision,Side Collision,Police,SC,15,3,NO,0,0,Unknown,93480,Chevrolet,0,62.52424586984149,0.16666666666666666,0.75,15,0,3,1402200
295,49,100/300,500,1141.62,0,MALE,prof-specialty,husband,34300,-24300,Vehicle Theft,Unknown,,WV,4,1,YES,1,3,YES,4320,Mercedes,0,3.784096284227677,0.1111111111111111,0.7777777777777778,270,0,1,1166400
464,61,500/1000,1000,1125.37,0,FEMALE,prof-specialty,husband,0,-56400,Multi-vehicle Collision,Rear Collision,Police,VA,6,3,Unknown,0,2,YES,79800,Saab,1,70.9100118183353,0.08333333333333333,0.6666666666666666,291,0,2,23221800
118,28,500/1000,2000,1207.36,0,FEMALE,handlers-cleaners,own-child,0,-57000,Multi-vehicle Collision,Front Collision,Ambulance,WV,22,2,NO,1,0,Unknown,74200,Volkswagen,0,61.45640074211504,0.1,0.7,278,0,2,20627600
298,47,500/1000,2000,1338.5,0,FEMALE,machine-op-inspct,other-relative,28800,0,Single Vehicle Collision,Front Collision,Fire,NY,1,1,Unknown,0,0,Unknown,70590,Saab,1,52.73813970862906,0.15384615384615385,0.6923076923076923,194,0,2,13694460
87,31,500/1000,1000,1074.07,0,FEMALE,sales,husband,0,-47500,Multi-vehicle Collision,Rear Collision,Fire,NY,16,3,NO,0,3,YES,60940,Nissan,1,56.737456590352586,0.09090909090909091,0.7272727272727273,67,1,2,4082980
261,42,250/500,500,1337.56,0,FEMALE,prof-specialty,unmarried,0,0,Single Vehicle Collision,Rear Collision,Police,SC,18,1,Unknown,1,2,YES,74700,Dodge,0,55.847961960584946,0.1,0.7,72,0,1,5378400
453,60,100/300,500,1298.91,6000000,MALE,craft-repair,unmarried,52600,-38800,Single Vehicle Collision,Front Collision,Fire,NC,0,1,YES,0,0,Unknown,70000,Ford,1,53.89133966171636,0.2,0.7,141,0,2,9870000
210,41,500/1000,500,1222.75,0,MALE,exec-managerial,other-relative,0,-41000,Multi-vehicle Collision,Rear Collision,Other,WV,12,3,Unknown,2,0,NO,81070,BMW,0,66.3013698630137,0.18181818181818182,0.6363636363636364,26,0,3,2107820
